# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K02691	psaC	photosystem I iron-sulfur center [EC:1.97.1.12]	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Main subunits	M00163+
K02692	psaD	photosystem I subunit II	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Main subunits	M00163+
K02693	psaE	photosystem I subunit IV	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Main subunits	M00163+
K02694	psaF	photosystem I subunit III	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Main subunits	M00163+
K02695	psaH	photosystem I subunit VI	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other subunits in plants	
K02696	psaI	photosystem I subunit VIII	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other common subunits	
K02697	psaJ	photosystem I subunit IX	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other common subunits	
K02698	psaK	photosystem I subunit X	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other common subunits	
K02699	psaL	photosystem I subunit XI	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other common subunits	
K02700	psaM	photosystem I subunit XII	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other subunits in cyanobacteria	
K02701	psaN	photosystem I subunit PsaN	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other subunits in plants	
K02702	psaX	photosystem I 4.8kDa protein	ko00194:Photosystem and electron transport system > Photosystem I (P700 chlorophyll a) [OT] > Other subunits in cyanobacteria	
K02703	psbA	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02704	psbB	photosystem II CP47 chlorophyll apoprotein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02705	psbC	photosystem II CP43 chlorophyll apoprotein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02706	psbD	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02707	psbE	photosystem II cytochrome b559 subunit alpha	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02708	psbF	photosystem II cytochrome b559 subunit beta	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Main subunits	M00161+
K02709	psbH	photosystem II PsbH protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02710	psbI	photosystem II PsbI protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02711	psbJ	photosystem II PsbJ protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02712	psbK	photosystem II PsbK protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02713	psbL	photosystem II PsbL protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02714	psbM	photosystem II PsbM protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02716	psbO	photosystem II oxygen-evolving enhancer protein 1	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02717	psbP	photosystem II oxygen-evolving enhancer protein 2	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02718	psbT	photosystem II PsbT protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02719	psbU	photosystem II PsbU protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other subunits in cyanobacteria	
K02720	psbV	photosystem II cytochrome c550	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other subunits in cyanobacteria	
K02721	psbW	photosystem II PsbW protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other subunits in plants	
K02722	psbX	photosystem II PsbX protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other subunits in cyanobacteria	
K02723	psbY	photosystem II PsbY protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02724	psbZ	photosystem II PsbZ protein	ko00194:Photosystem and electron transport system > Photosystem II (P680 chlorophyll a) [OT] > Other common subunits	
K02725	PSMA1	20S proteasome subunit alpha 6 [EC:3.4.25.1]	ko01002:Threonine peptidases > Family T1: proteasome family	
K02726	PSMA2	20S proteasome subunit alpha 2 [EC:3.4.25.1]	ko01002:Threonine peptidases > Family T1: proteasome family	
