# KEGG ortholog names for every KO in kegg_map.KEGG_TO_PREDICATES.
# Source: https://rest.kegg.jp/list/<KO>, retrieved 2026-09-24; KOs retired from KEGG REST use the KOfam ko_list definition. Refresh when adding KOs.
# ko	symbols	definition
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]
K23130	wbdN	O157-antigen biosynthesis beta-1,3-glucosyltransferase
K23131	wbdO	O157-antigen biosynthesis glycosyltransferase
K23153	ncmP	nocamycin O-methyltransferase [EC:2.1.1.351]
K23163	sbp	sulfate/thiosulfate transport system substrate-binding protein
K23199	wbbC	O7-antigen biosynthesis mannosyltransferase
K23229	wbgP	O55-antigen biosynthesis glycosyltransferase
K23230	wbgO	O55-antigen biosynthesis beta-1,3-galactosyltransferase
K23250	wbwB	O104-antigen biosynthesis alpha-1,4-galactosyltransferase
K23251	wbwC	O104-antigen biosynthesis beta-1,3-galactosyltransferase
K23397	cpkG	5-hydroxydodecatetraenal 1-aminotransferase [EC:2.6.1.115]
K23627	ASQK	cyclopeptine synthase [EC:6.3.2.40]
K23631	ASAC	aspergillic acid biosynthesis nonribosomal peptide synthetase [EC:6.3.2.-]
K23646	DTPA	ditryptophenaline biosynthesis nonribosomal peptide synthase [EC:6.3.2.-]
K23888	ROQA	histidyltryptophyldiketopiperazine synthetase [EC:6.3.2.-]
K24122	ctmAB	limonene dehydrogenase [EC:1.17.99.8]
K24245	ligXd	5,5'-dehydrodivanillate O-demethylase ferredoxin reductase subunit [EC:1.18.1.-]
K24251	qdtC	dTDP-D-Quip3N acetylase [EC:2.3.1.-]
K24305	K24305	UDP-2-acetamido-4-(D-alanylamino)-2,4,6-trideoxy-alpha-D-mannopyranose hydrolase (KOfam ko_list; absent from KEGG REST on 2026-09-24)
K24649	wbdM	O111-antigen biosynthesis glucosyltransferase
K24654	wclR	O3-antigen biosynthesis alpha-1,3-galactosyltransferase [EC:2.4.1.343]
K25156	evrA	viologen exporter family transport system ATP-binding protein
K26073	wejO	O78-antigen biosynthesis glycosyltransferase
K26075	wckD	O104-antigen biosynthesis O-acyltransferase
K26217	wbgX	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase
K26370	IIV6-343L	Iridovirus probable DNA-directed RNA polymerase subunit [EC:2.7.7.6]
K26996	sdpI	immunity protein, SdpI family
K27193	mheI	carbendazim hydrolysing esterase [EC:3.1.1.122]
K27305	aprG, curF	polyketide synthase / 4-carboxy-3-alkylbut-2-enoyl-[acp] decarboxylase [EC:4.1.1.125]
K27593	asuE1	protoasukamycin 4-monooxygenase [EC:1.14.13.215]
K27779	NNMT	norajmaline N-methyltransferase [EC:2.1.1.392]
K27844	ANMT	ajmaline N-methyltransferase [EC:2.1.1.393]
K27875	srdB	selenate reductase (quinol) subunit B [EC:1.97.1.14]
K27979	sbzA	altemicidin L-isoleucyltransferase [EC:2.3.2.39]
K27986	nasB	branched-chain 2-oxoacid:malonyl-[acyl-carrier protein] acyltransferase [EC:2.3.1.328]
