# KEGG BRITE node -> predicate rules (curated). A KO placed under a matching node
# carries the predicates, with its node path as evidence.
# node_path: " > "-joined levels below the hierarchy root; each level is a literal
#   prefix of KEGG's node label, or a regex (fullmatch) when prefixed with "re:".
#   An empty path matches every KO in the hierarchy.
# definition_regex: optional; KEGG's KO definition (symbols; name) must match it.
# Map component-level predicates only (vocabulary level 'component'): system-level
# predicates (validated multi-gene systems) come from system callers.
# hierarchy	node_path	definition_regex	predicates
ko01002	re:(Aspartic|Cysteine|Glutamic|Metallo|Mixed|Serine|Threonine) peptidases|Peptidases of unknown catalytic type		peptidase
ko01002	Cysteine peptidases		cysteine_protease
ko01002	Cysteine peptidases > re:Family (C12|C19): .*		deubiquitinase
ko01002	Serine peptidases > Family S14: ClpP endopeptidase family		clp_protease
ko01002	Serine peptidases > Family S16: lon protease family		lon_protease
ko03000			transcription_factor
ko03000	re:(Eukaryotic|Prokaryotic) type > Helix-turn-helix		helix_turn_helix dna_binding
ko03000	Prokaryotic type > Ribbon-helix-helix		ribbon_helix_helix dna_binding
ko03000	Eukaryotic type > re:Basic helix-loop-helix.*		helix_loop_helix
ko03000	Eukaryotic type > Zinc finger		zinc_finger
ko03000	Prokaryotic type > Helix-turn-helix > AraC family		arac_family
ko03000	Prokaryotic type > Helix-turn-helix > LysR family		lysr_family
ko03000	Prokaryotic type > Helix-turn-helix > LacI family		laci_family
ko03000	Prokaryotic type > Helix-turn-helix > GntR family		gntr_family
ko03000	Prokaryotic type > Helix-turn-helix > TetR/AcrR family		tetr_family
ko03000	Prokaryotic type > Helix-turn-helix > Lrp/AsnC family		asnc_family
ko03000	Prokaryotic type > Helix-turn-helix > LuxR family		luxr_family
ko03000	Prokaryotic type > Helix-turn-helix > MarR family		marr_family
ko03000	Prokaryotic type > Helix-turn-helix > IclR family		iclr_family
ko03000	Prokaryotic type > Helix-turn-helix > CRP/FNR family		crp_fnr_family
ko02000	re:ABC transporters, (eukaryotic|prokaryotic) type		transporter abc_transporter
ko02000	Solute carrier family (SLC)		transporter
ko02000	Major facilitator superfamily (MFS)		transporter mfs_transporter
ko02000	Major facilitator superfamily (MFS) > Sugar transporters		sugar_transporter
ko02000	Major facilitator superfamily (MFS) > Nitrate/nitrite transporters		nitrate_transporter
ko02000	Major facilitator superfamily (MFS) > Metal transporters		metal_transporter
ko02000	Phosphotransferase system (PTS) > Enzyme II		transporter sugar_transporter
ko02000	Other transporters > re:(Aquaporins|Pores ion channels|Electrochemical potential-driven|Primary active transporters).*		transporter
