# Curated CAZy family -> predicate proposals. A pair ships only when CAZy's class definition
# or reviewed Swiss-Prot consensus supports it; see scripts/build_cazy_predicate_map.py.
# family	predicates	comment
PL3	pectinase,polysaccharide_lyase,carbohydrate_active	Pectate lyase
PL9	pectinase,polysaccharide_lyase,carbohydrate_active	Pectate lyase
PL10	pectinase,polysaccharide_lyase,carbohydrate_active	Pectate lyase
PL22	pectinase,polysaccharide_lyase,carbohydrate_active	Oligogalacturonate lyase
CE8	pectinase,carbohydrate_esterase,carbohydrate_active	Pectin methylesterase
CE12	pectinase,carbohydrate_esterase,carbohydrate_active	Pectin acetylesterase
GH26	mannanase,glycoside_hydrolase,carbohydrate_active	Beta-mannanase
GH113	mannanase,glycoside_hydrolase,carbohydrate_active	Beta-mannanase
GH130	mannanase,glycoside_hydrolase,carbohydrate_active	Beta-mannooligosaccharide phosphorylase
GH2	mannanase,glycoside_hydrolase,carbohydrate_active	Beta-mannosidase
AA9	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO cellulose
AA10	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO chitin/cellulose
AA11	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO chitin
AA13	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO starch
AA14	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO xylan
AA15	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO various
AA16	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO cellulose
AA17	lytic_polysaccharide_monooxygenase,auxiliary_activity,carbohydrate_active,copper_binding	LPMO pectin
AA1	auxiliary_activity,carbohydrate_active,oxidase,copper_binding	Laccase
AA2	auxiliary_activity,carbohydrate_active,peroxidase,heme_binding	Class II peroxidase
AA3	auxiliary_activity,carbohydrate_active,oxidase,fad_binding	GMC oxidoreductases
AA4	auxiliary_activity,carbohydrate_active,oxidase,fad_binding	Vanillyl-alcohol oxidase
AA5	auxiliary_activity,carbohydrate_active,oxidase,copper_binding	Glyoxal/galactose oxidase
AA6	auxiliary_activity,carbohydrate_active,reductase	1,4-benzoquinone reductase
AA7	auxiliary_activity,carbohydrate_active,oxidase,fad_binding	Glucooligosaccharide oxidase
AA8	auxiliary_activity,carbohydrate_active,iron_binding	Iron reductase domain
GT1	glycosyltransferase_cazy,carbohydrate_active,transferase	UDP-glucuronosyltransferase
GT2	glycosyltransferase_cazy,carbohydrate_active,transferase	Cellulose synthase
GT4	glycosyltransferase_cazy,carbohydrate_active,transferase	Sucrose synthase
GT5	glycosyltransferase_cazy,carbohydrate_active,transferase	Starch synthase
GT20	glycosyltransferase_cazy,carbohydrate_active,transferase	Alpha-amylase superfamily
GT28	glycosyltransferase_cazy,carbohydrate_active,transferase,peptidoglycan	MurG
GT35	glycosyltransferase_cazy,carbohydrate_active,transferase	Glycogen phosphorylase
GT51	glycosyltransferase_cazy,carbohydrate_active,transferase,peptidoglycan	Murein polymerase
CE1	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan esterase
CE2	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan esterase
CE3	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan esterase
CE4	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan/chitin deacetylase
CE5	carbohydrate_esterase,carbohydrate_active,esterase	Cutinase
CE6	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan esterase
CE7	carbohydrate_esterase,carbohydrate_active,esterase	Acetyl xylan esterase
CE9	carbohydrate_esterase,carbohydrate_active,esterase	N-acetylglucosamine 6-phosphate deacetylase
CE10	carbohydrate_esterase,carbohydrate_active,esterase	Arylesterase
CE11	carbohydrate_esterase,carbohydrate_active,esterase,peptidoglycan	UDP-3-O-acyl-N-acetylglucosamine deacetylase
CE14	carbohydrate_esterase,carbohydrate_active,esterase	N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
CE15	carbohydrate_esterase,carbohydrate_active,esterase	4-O-methyl-glucuronoyl methylesterase
CE16	carbohydrate_esterase,carbohydrate_active,esterase	Acetylesterase
CBM1	carbohydrate_binding,carbohydrate_active	Cellulose-binding
CBM2	carbohydrate_binding,carbohydrate_active	Cellulose/xylan-binding
CBM3	carbohydrate_binding,carbohydrate_active	Cellulose-binding (scaffoldin)
CBM4	carbohydrate_binding,carbohydrate_active	Amorphous cellulose-binding
CBM5	carbohydrate_binding,carbohydrate_active,chitinase	Chitin-binding
CBM6	carbohydrate_binding,carbohydrate_active	Various substrates
CBM9	carbohydrate_binding,carbohydrate_active	Cellulose-binding
CBM10	carbohydrate_binding,carbohydrate_active	Cellulose-binding
CBM12	carbohydrate_binding,carbohydrate_active,chitinase	Chitin-binding
CBM13	carbohydrate_binding,carbohydrate_active	Lectin-like
CBM14	carbohydrate_binding,carbohydrate_active,chitinase	Chitin-binding
CBM16	carbohydrate_binding,carbohydrate_active	Cellulose/xylan-binding
CBM18	carbohydrate_binding,carbohydrate_active,chitinase	Chitin-binding
CBM19	carbohydrate_binding,carbohydrate_active,chitinase	Chitin-binding
CBM20	carbohydrate_binding,carbohydrate_active,amylase	Starch-binding
CBM21	carbohydrate_binding,carbohydrate_active,amylase	Starch-binding
CBM22	carbohydrate_binding,carbohydrate_active,xylanase	Xylan-binding
CBM25	carbohydrate_binding,carbohydrate_active,amylase	Starch-binding
CBM26	carbohydrate_binding,carbohydrate_active,amylase	Starch-binding
CBM32	carbohydrate_binding,carbohydrate_active	Galactose-binding
CBM33	lytic_polysaccharide_monooxygenase,carbohydrate_active,copper_binding	Now AA10
CBM34	carbohydrate_binding,carbohydrate_active,amylase	Granular starch-binding
CBM35	carbohydrate_binding,carbohydrate_active,xylanase	Xylan-binding
CBM42	carbohydrate_binding,carbohydrate_active	Arabinofuranose-binding
CBM46	carbohydrate_binding,carbohydrate_active,cellulase	Cellulose-binding
CBM48	carbohydrate_binding,carbohydrate_active,amylase	Glycogen-binding
CBM50	carbohydrate_binding,carbohydrate_active,peptidoglycan	LysM
CBM54	carbohydrate_binding,carbohydrate_active,xylanase	Xylan-binding
CBM57	carbohydrate_binding,carbohydrate_active	Starch/cellulose-binding
CBM61	carbohydrate_binding,carbohydrate_active	Beta-galactan-binding
CBM63	carbohydrate_binding,carbohydrate_active,cellulase	Cellulose-binding
PL4	polysaccharide_lyase,carbohydrate_active	Rhamnogalacturonan lyase
PL5	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL6	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL7	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL8	polysaccharide_lyase,carbohydrate_active	Hyaluronate lyase
PL11	polysaccharide_lyase,carbohydrate_active	Rhamnogalacturonan lyase
PL12	polysaccharide_lyase,carbohydrate_active	Heparin sulfate lyase
PL14	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL15	polysaccharide_lyase,carbohydrate_active	Oligo-alginate lyase
PL17	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL18	polysaccharide_lyase,carbohydrate_active	Alginate lyase
PL21	polysaccharide_lyase,carbohydrate_active	Heparin lyase
GH4	glycoside_hydrolase,carbohydrate_active,nad_binding	6-phospho-beta-glucosidase
GH16	glycoside_hydrolase,carbohydrate_active	Various (xyloglucanase, laminarinase)
GH17	glycoside_hydrolase,carbohydrate_active	1,3-beta-glucanase
GH22	glycoside_hydrolase,carbohydrate_active	Lysozyme
GH24	glycoside_hydrolase,carbohydrate_active	Lysozyme
GH25	glycoside_hydrolase,carbohydrate_active,lytic_transglycosylase	N,O-diacetylmuramidase
GH29	glycoside_hydrolase,carbohydrate_active	Alpha-L-fucosidase
GH31	glycoside_hydrolase,carbohydrate_active	Alpha-glucosidase
GH32	glycoside_hydrolase,carbohydrate_active	Invertase
GH33	glycoside_hydrolase,carbohydrate_active	Sialidase
GH35	glycoside_hydrolase,carbohydrate_active	Beta-galactosidase
GH36	glycoside_hydrolase,carbohydrate_active	Alpha-galactosidase
GH37	glycoside_hydrolase,carbohydrate_active	Alpha,alpha-trehalase
GH38	glycoside_hydrolase,carbohydrate_active	Alpha-mannosidase
GH39	glycoside_hydrolase,carbohydrate_active	Beta-xylosidase
GH42	glycoside_hydrolase,carbohydrate_active	Beta-galactosidase
GH47	glycoside_hydrolase,carbohydrate_active	Alpha-mannosidase
GH51	glycoside_hydrolase,carbohydrate_active	Alpha-L-arabinofuranosidase
GH52	glycoside_hydrolase,carbohydrate_active	Beta-xylosidase
GH53	glycoside_hydrolase,carbohydrate_active	Endo-1,4-beta-galactanase
GH54	glycoside_hydrolase,carbohydrate_active	Alpha-L-arabinofuranosidase
GH55	glycoside_hydrolase,carbohydrate_active	1,3-beta-glucanase
GH62	glycoside_hydrolase,carbohydrate_active	Alpha-L-arabinofuranosidase
GH63	glycoside_hydrolase,carbohydrate_active	Mannosyl-oligosaccharide glucosidase
GH64	glycoside_hydrolase,carbohydrate_active	1,3-beta-glucanase
GH65	glycoside_hydrolase,carbohydrate_active	Maltose phosphorylase
GH68	glycoside_hydrolase,carbohydrate_active	Levansucrase
GH70	glycoside_hydrolase,carbohydrate_active	Glucansucrase
GH71	glycoside_hydrolase,carbohydrate_active	Mutanase
GH72	glycoside_hydrolase,carbohydrate_active	1,3-beta-glucanosyltransglycosylase
GH73	glycoside_hydrolase,carbohydrate_active,peptidoglycan	Lysozyme
GH79	glycoside_hydrolase,carbohydrate_active	Beta-glucuronidase
GH81	glycoside_hydrolase,carbohydrate_active	1,3-beta-glucanase
GH84	glycoside_hydrolase,carbohydrate_active	N-acetyl-beta-glucosaminidase
GH85	glycoside_hydrolase,carbohydrate_active	Endo-beta-N-acetylglucosaminidase
GH92	glycoside_hydrolase,carbohydrate_active	Alpha-mannosidase
GH94	glycoside_hydrolase,carbohydrate_active	Cellobiose phosphorylase
GH95	glycoside_hydrolase,carbohydrate_active	Alpha-L-fucosidase
GH99	glycoside_hydrolase,carbohydrate_active	Glycoprotein endo-alpha-mannosidase
GH102	glycoside_hydrolase,carbohydrate_active,peptidoglycan	Peptidoglycan lytic transglycosylase
GH103	glycoside_hydrolase,carbohydrate_active,peptidoglycan	Peptidoglycan lytic transglycosylase
GH104	glycoside_hydrolase,carbohydrate_active,peptidoglycan	Peptidoglycan lytic transglycosylase
GH108	glycoside_hydrolase,carbohydrate_active	N-acetylmuramidase
GH109	glycoside_hydrolase,carbohydrate_active	Alpha-N-acetylgalactosaminidase
GH110	glycoside_hydrolase,carbohydrate_active	Alpha-galactosidase
GH115	glycoside_hydrolase,carbohydrate_active,xylanase	Alpha-glucuronidase
GH116	glycoside_hydrolase,carbohydrate_active	Beta-glucosidase
GH117	glycoside_hydrolase,carbohydrate_active	Alpha-neoagarobiose hydrolase
GH120	glycoside_hydrolase,carbohydrate_active	Beta-xylosidase
GH121	glycoside_hydrolase,carbohydrate_active	Beta-L-arabinobiosidase
GH123	glycoside_hydrolase,carbohydrate_active	Beta-N-acetylgalactosaminidase
GH125	glycoside_hydrolase,carbohydrate_active	Exo-alpha-1,6-mannosidase
GH127	glycoside_hydrolase,carbohydrate_active	Beta-L-arabinofuranosidase
GH128	glycoside_hydrolase,carbohydrate_active	Endo-1,3-beta-glucanase
GH129	glycoside_hydrolase,carbohydrate_active	Alpha-N-acetylgalactosaminidase
GH131	glycoside_hydrolase,carbohydrate_active,cellulase	Exo-1,3/1,4-beta-glucanase
GH133	glycoside_hydrolase,carbohydrate_active,amylase	Amylo-alpha-1,6-glucosidase
GH144	glycoside_hydrolase,carbohydrate_active	Endo-beta-1,2-glucanase
