# Generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicates	evidence
K06168	sulfurtransferase,synthase,transferase,trna_modification	sulfurtransferase=ec:2.8.4.3;synthase=text:synthase;transferase=ec:2.8.4.3;trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Methylthiotransferase
K06169	oxidoreductase,oxygenase,trna_modification	oxidoreductase=ec:1.14.99.69;oxygenase=ec:1.14.99.69;trna_modification=brite:ko03016 Prokaryotic type > tRNA modification factors > Other tRNA modification factors
K06173	isomerase,mutase,synthase,trna_modification	isomerase=ec:5.4.99.12;mutase=ec:5.4.99.12;synthase=text:synthase;trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Psudouridine synthases
K06174	abc_transporter,atp_binding	abc_transporter=text:ATP-binding cassette;atp_binding=text:ATP
K06175	isomerase,mutase,synthase,trna_modification	isomerase=ec:5.4.99.26;mutase=ec:5.4.99.26;synthase=text:synthase;trna_modification=brite:ko03016 Prokaryotic type > tRNA modification factors > Psudouridine synthases
K06176	isomerase,mutase,synthase,trna_modification	isomerase=ec:5.4.99.27;mutase=ec:5.4.99.27;synthase=text:synthase;trna_modification=brite:ko03016 Eukaryotic type > tRNA modification factors > Psudouridine synthases
K06177	isomerase,mutase,synthase,trna_modification	isomerase=ec:5.4.99.28;mutase=ec:5.4.99.28;synthase=text:synthase;trna_modification=brite:ko03016 Prokaryotic type > tRNA modification factors > Psudouridine synthases
K06178	isomerase,mutase,synthase	isomerase=ec:5.4.99.22;mutase=ec:5.4.99.22;synthase=text:synthase
K06179	isomerase,mutase,synthase	isomerase=ec:5.4.99.24;mutase=ec:5.4.99.24;synthase=text:synthase
K06180	isomerase,mutase,synthase	isomerase=ec:5.4.99.23;mutase=ec:5.4.99.23;synthase=text:synthase
K06181	isomerase,mutase,synthase	isomerase=ec:5.4.99.20;mutase=ec:5.4.99.20;synthase=text:synthase
K06182	isomerase,mutase,synthase	isomerase=ec:5.4.99.21;mutase=ec:5.4.99.21;synthase=text:synthase
K06183	isomerase,mutase,synthase	isomerase=ec:5.4.99.19;mutase=ec:5.4.99.19;synthase=text:synthase
K06184	abc_transporter,atp_binding,translation,translation_factor	abc_transporter=text:ATP-binding cassette;atp_binding=text:ATP;translation=brite:ko03012 Eukaryotic type > Initiation factors > Initiation associated factors;translation_factor=brite:ko03012 Eukaryotic type > Initiation factors > Initiation associated factors
K06185	abc_transporter,atp_binding	abc_transporter=text:ATP-binding cassette;atp_binding=text:ATP
K06186	membrane,transporter	membrane=text:membrane;transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06187	dna_repair,recombinational_repair	dna_repair=brite:ko03400 Prokaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > RecFOR pathway proteins;recombinational_repair=brite:ko03400 Prokaryotic type > DSBR (double strand breaks repair) > HR (homologous recombination) > RecFOR pathway proteins
K06188	transporter	transporter=brite:ko02000 Other transporters > Aquaporins and small neutral solute transporters [TC:1.A.8] > Aquaporins
K06189	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06193	hydrolase	hydrolase=swissprot:6/6
K06196	cytochrome	cytochrome=text:cytochrom
K06199	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06200	transporter	transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K06204	dna_binding,transcription,transcription_factor	dna_binding=text:transcription factor;transcription=brite:ko03021 Prokaryotic type > Bacterial type > Other transcription-related factors > Transcription elongation factors;transcription_factor=brite:ko03000 Prokaryotic type > Other transcription factors > Others
K06207	gtp_binding,hydrolase	gtp_binding=text:GTP;hydrolase=swissprot:14/15
K06208	isomerase,mutase	isomerase=ec:5.4.99.5;mutase=ec:5.4.99.5
K06209	isomerase,mutase	isomerase=ec:5.4.99.5;mutase=ec:5.4.99.5
K06210	nad_biosynthesis,nucleotidyltransferase,transferase	nad_biosynthesis=module:M00115;nucleotidyltransferase=ec:2.7.7.1;transferase=ec:2.7.7.1
K06211	atp_binding,dna_binding,helix_turn_helix,kinase,nucleotidyltransferase,regulator,transcription_factor,transferase	atp_binding=ec:2.7.1.22;dna_binding=brite:ko03000 Prokaryotic type > Helix-turn-helix > Other families;helix_turn_helix=brite:ko03000 Prokaryotic type > Helix-turn-helix > Other families;kinase=ec:2.7.1.22;nucleotidyltransferase=ec:2.7.7.1;regulator=text:regulat;transcription_factor=brite:ko03000 Prokaryotic type > Helix-turn-helix > Other families;transferase=ec:2.7.7.1
K06212	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06213	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06215	complex_subunit,lyase,plp_binding,pyridoxal_biosynthesis,synthase	complex_subunit=module:M00916;lyase=ec:4.3.3.6;plp_binding=text:pyridoxal;pyridoxal_biosynthesis=module:M00916;synthase=text:synthase
K06216	transporter	transporter=brite:ko02000 Other transporters > Electrochemical potential-driven transporters [TC:2]
K06218	toxin	toxin=brite:ko02048 Toxin-antitoxin system (TA system) > Type II TA system > RelE/StbE-RelB/StbD
K06219	methyltransferase,transferase,trna_modification	methyltransferase=ec:2.1.1.-;transferase=ec:2.1.1.-;trna_modification=brite:ko03016 Prokaryotic type > tRNA modification factors > Methyltransferases
K06221	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.346;nad_binding=ec:1.1.1.346;oxidoreductase=ec:1.1.1.346;reductase=text:reductase
K06222	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.346;nad_binding=ec:1.1.1.346;oxidoreductase=ec:1.1.1.346;reductase=text:reductase
K06223	dna_methylase,dna_repair,methyltransferase,methyltransferase_rm,mismatch_repair,replication,restriction_modification,rm_type_ii,transferase	dna_methylase=ec:2.1.1.72;dna_repair=brite:ko03400 Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > Other MMR factors;methyltransferase=ec:2.1.1.72;methyltransferase_rm=brite:ko02048 Restriction and modification system (R-M system) > Type II R-M system > DNA methyltransferases;mismatch_repair=brite:ko03400 Prokaryotic type > SSBR (single strand breaks repair) > MMR (mismatch excision repair) > Other MMR factors;replication=brite:ko03032 Prokaryotic type > DNA Replication Termination Factors > DNA methylation enzymes;restriction_modification=brite:ko02048 Restriction and modification system (R-M system) > Type II R-M system > DNA methyltransferases;rm_type_ii=brite:ko02048 Restriction and modification system (R-M system) > Type II R-M system > DNA methyltransferases;transferase=ec:2.1.1.72
K06224	cysteine_protease,hydrolase,peptidase	cysteine_protease=brite:ko01002 Cysteine peptidases > Family C46: hedgehog family;hydrolase=swissprot:11/11;peptidase=brite:ko01002 Cysteine peptidases > Family C46: hedgehog family
K06228	kinase,serine_threonine_kinase,transferase	kinase=ec:2.7.11.1;serine_threonine_kinase=ec:2.7.11.1;transferase=ec:2.7.11.1
K06230	transcription_factor,zinc_binding,zinc_finger	transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2His2 GLI-like;zinc_binding=text:zinc;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2His2 GLI-like
K06233	regulator,regulatory,transporter	regulator=swissprot:5/5;regulatory=swissprot:5/5;transporter=swissprot:5/5
K06235	transcription_factor,zinc_binding,zinc_finger	transcription_factor=brite:ko03000 Eukaryotic type > Zinc finger > Cys2His2 GLI-like;zinc_binding=text:zinc;zinc_finger=brite:ko03000 Eukaryotic type > Zinc finger > Cys2His2 GLI-like
K06237	cell_surface,secreted	cell_surface=swissprot:14/15;secreted=swissprot:14/15
K06238	cell_surface,secreted	cell_surface=swissprot:10/12;secreted=swissprot:10/12
K06240	cell_surface,secreted	cell_surface=swissprot:6/6;secreted=swissprot:6/6
K06249	hydrolase,peptidase,protease	hydrolase=ec:3.4.21.-;peptidase=ec:3.4.21.-;protease=ec:3.4.21.-
K06258	mfs_transporter,transporter	mfs_transporter=brite:ko02000 Major facilitator superfamily (MFS) > Protein transporters > Vesicular neurotransmitter transporter (VNT) [TC:2.A.1.22];transporter=brite:ko02000 Major facilitator superfamily (MFS) > Protein transporters > Vesicular neurotransmitter transporter (VNT) [TC:2.A.1.22]
K06266	transporter	transporter=brite:ko02000 Other transporters > Pores ion channels [TC:1]
K06268	hydrolase,phosphatase	hydrolase=text:phosphatase;phosphatase=text:phosphatase
K06269	hydrolase,phosphatase,transcription	hydrolase=ec:3.1.3.16;phosphatase=ec:3.1.3.16;transcription=brite:ko03021 Eukaryotic type > RNA polymerase II system > Other transcription-related factors > Transcription termination factor
K06270	hydrolase,phosphatase	hydrolase=text:phosphatase;phosphatase=text:phosphatase
