# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF07941	K_channel_TID	Potassium channel Kv1.4 tandem inactivation domain	GO:0005215,GO:0005216,GO:0005488,GO:0006810,GO:0006811,GO:0015075,GO:0015267,GO:0016020,GO:0022857,GO:0030001,GO:0046872,GO:0046873	
PF07942	CARME	Carnosine N-methyltransferase	GO:0003824,GO:0008168,GO:0016740	carnosine n-methyltransferase=2.1.1.22
PF07943	PBP5_C	Penicillin-binding protein 5, C-terminal domain	GO:0003824,GO:0006508,GO:0008233,GO:0009002,GO:0016787	
PF07950	MCP1_TM	MDM10-complementing protein 1, transmembrane domain		
PF07951	Toxin_R_bind_C	Clostridium neurotoxin, C-terminal receptor binding		
PF07953	Toxin_R_bind_N	Clostridium neurotoxin, N-terminal receptor binding	GO:0005576	
PF07954	DUF1689	Protein of unknown function (DUF1689)		
PF07955	DUF1687	Protein of unknown function (DUF1687)	GO:0003824,GO:0005737,GO:0016491	
PF07956	DUF1690	Protein of Unknown function (DUF1690)		
PF07957	DUF3294	Protein of unknown function (DUF3294)		
PF07958	DUF1688	Protein of unknown function (DUF1688)		
PF07963	N_methyl	Prokaryotic N-terminal methylation motif		
PF07968	Leukocidin	Leukocidin/Hemolysin toxin family	GO:0005576,GO:0019835	
PF07969	Amidohydro_3	Amidohydrolase family		
PF07971	Glyco_hydro_92	Glycosyl hydrolase family 92 catalytic domain		
PF07973	tRNA_SAD	Threonyl and Alanyl tRNA synthetase second additional domain	GO:0000166,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006520,GO:0016070,GO:0016874,GO:0043039	
PF07984	NTP_transf_7	Nucleotidyltransferase	GO:0003824,GO:0016740,GO:0016772,GO:0016779	
PF07986	TBCC	Tubulin binding cofactor C		
PF07987	DUF1775	Domain of unkown function (DUF1775)		
PF07990	NABP	Nucleic acid binding protein NABP		
PF07991	KARI_N	Acetohydroxy acid isomeroreductase, NADPH-binding domain		acetohydroxy acid isomeroreductase=1.1.1.86
PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	GO:0003824,GO:0016491	
PF07993	NAD_binding_4	Male sterility protein		
PF07994	NAD_binding_5	Myo-inositol-1-phosphate synthase	GO:0003824,GO:0006629,GO:0006644,GO:0008610,GO:0008654,GO:0009058,GO:0016853	myo-inositol-1-phosphate synthase=5.5.1.4
PF07995	GSDH	Glucose / Sorbosone dehydrogenase		
PF07996	T4SS	Type IV secretion system proteins		
PF07997	DUF1694	Protein of unknown function (DUF1694)		
PF07998	Peptidase_M54	Peptidase family M54	GO:0003824,GO:0006508,GO:0008233,GO:0016787	
PF08002	DUF1697	Protein of unknown function (DUF1697)		
PF08003	Methyltransf_9	Protein of unknown function (DUF1698)		
PF08004	DUF1699	Protein of unknown function (DUF1699)		
PF08006	HAAS_TM	HAAS transmembrane region		
PF08009	CDP-OH_P_tran_2	CDP-alcohol phosphatidyltransferase 2		
PF08010	Phage_30_3	Bacteriophage protein GP30.3		
PF08011	PDDEXK_9	PD-(D/E)XK nuclease superfamily		
PF08012	DUF1702	Protein of unknown function (DUF1702)		
PF08013	GatZ_KbaZ-like	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ-like	GO:0005975	aldolase=4.1.2.13
PF08014	MATCAP	Microtubule-associated tyrosine carboxypeptidase		
PF08016	PKD_channel	Polycystin cation channel		
PF08017	Fibrinogen_BP	Fibrinogen binding protein		
PF08019	EptA_B_N	Phosphoethanolamine transferase EptA/EptB	GO:0016020	
PF08020	DUF1706	Protein of unknown function (DUF1706)		
PF08021	FAD_binding_9	Siderophore-interacting FAD-binding domain		
PF08022	FAD_binding_8	FAD-binding domain	GO:0003824,GO:0016491	
PF08028	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain		
PF08029	HisG_C	HisG, C-terminal domain	GO:0000105,GO:0000287,GO:0003824,GO:0005488,GO:0005737,GO:0006520,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0016740,GO:0016757,GO:0046872	
PF08030	NAD_binding_6	Ferric reductase NAD binding domain	GO:0003824,GO:0016491	ferric reductase=1.16.1.10
PF08032	SpoU_sub_bind	RNA 2'-O ribose methyltransferase substrate binding	GO:0003824,GO:0008168,GO:0016740	methyltransferase=2.5.1.61
PF08041	PetM	PetM family of cytochrome b6f complex subunit 7	GO:0070069	cytochrome b6f complex=7.1.1.6
PF08044	DUF1707	DUF1707 SHOCT-like domain		
PF08045	CDC14	Cell division control protein 14, SIN component		
PF08063	Zn_ribbon_PADR1	PADR1 domain, zinc ribbon fold	GO:0005488,GO:0008270,GO:0046872	
PF08069	Ribosomal_S13_N	Ribosomal S13/S15 N-terminal domain	GO:0003735,GO:0005198,GO:0005840,GO:0006412,GO:0009058	
PF08079	Ribosomal_L30_N	Ribosomal L30 N-terminal domain		
PF08080	zf-RNPHF	RNPHF zinc finger		
PF08092	Toxin_22	Magi peptide toxin family	GO:0005576	
PF08098	ATX_III	Anemonia sulcata toxin III family	GO:0005737	
PF08100	Dimerisation	Plant O-methyltransferase dimerisation domain	GO:0005488,GO:0005515	
PF08112	ATP-synt_E_2	ATP synthase epsilon subunit	GO:0005215,GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0015986,GO:0016020,GO:0022857,GO:0033178,GO:0042626,GO:0055086	atp synthase=7.1.2.2
PF08113	CoxIIa	Cytochrome c oxidase subunit IIa family		
PF08114	PMP1_2	ATPase proteolipid family	GO:0065007	
PF08115	Toxin_28	SFI toxin family	GO:0005576	
PF08119	Toxin_31	Scorpion acidic alpha-KTx toxin family	GO:0005576	
PF08122	NDUF_B12	NADH-ubiquinone oxidoreductase B12 subunit family	GO:0005737,GO:0006091,GO:0022900	nadh-ubiquinone oxidoreductase=1.6.5.9|7.1.1.2
PF08124	Lyase_8_N	Polysaccharide lyase family 8, N terminal alpha-helical domain		
PF08125	Mannitol_dh_C	Mannitol dehydrogenase C-terminal domain	GO:0003824,GO:0016491	mannitol dehydrogenase=1.1.1.255|1.1.1.67|1.1.2.2
PF08126	Propeptide_C25	Propeptide_C25	GO:0003824,GO:0008233,GO:0008234,GO:0016787	
PF08127	Propeptide_C1	Peptidase family C1 propeptide	GO:0003824,GO:0008233,GO:0008234,GO:0016787,GO:0065007	
PF08133	Nuclease_act	Anticodon nuclease activator family	GO:0003824,GO:0004518,GO:0065007	
PF08136	SRA_like	Ribosome hibernation factor SRA	GO:0006412,GO:0009058	
PF08139	LPAM_1	Prokaryotic membrane lipoprotein lipid attachment site		
PF08158	SDA1_HEAT	SDA1, HEAT repeat		
PF08161	RRP12_HEAT	Ribosomal RNA-processing protein 12, HEAT repeats		
PF08163	DNAPKcs_CC3	DNA-dependent protein kinase catalytic subunit, CC3	GO:0006281,GO:0006302,GO:0006950	protein kinase=2.7.13.1|2.7.13.2|2.7.13.3
PF08164	TRAUB	Apoptosis-antagonizing transcription factor, C-terminal		
PF08173	YbgT_YccB	Membrane bound YbgT-like protein		
PF08174	Anillin	Cell division protein anillin		
PF08178	GnsAB_toxin	GnsA/GnsB toxin of bacterial toxin-antitoxin system		
PF08187	Tetradecapep	Myoactive tetradecapeptides family	GO:0005576,GO:0007165,GO:0023052,GO:0065007	
PF08191	LRR_adjacent	LRR adjacent		
PF08192	Peptidase_S64	Peptidase family S64		
PF08200	Phage_1_1	Bacteriophage 1.1 Protein		
PF08203	RNA_polI_A14	Yeast RNA polymerase I subunit RPA14		rna polymerase i=2.7.7.6
PF08206	OB_RNB	Ribonuclease B OB domain		
PF08207	EFP_N	Elongation factor P (EF-P) KOW-like domain		elongation factor=3.6.5.3
PF08208	RNA_polI_A34	DNA-directed RNA polymerase I subunit RPA34.5	GO:0006351,GO:0009058,GO:0016070	dna-directed rna polymerase=2.7.7.6;rna polymerase i=2.7.7.6
PF08211	dCMP_cyt_deam_2	Cytidine and deoxycytidylate deaminase zinc-binding region	GO:0003824,GO:0005488,GO:0008270,GO:0016787,GO:0016810,GO:0019239,GO:0046872	deoxycytidylate deaminase=3.5.4.12
PF08212	Lipocalin_2	Lipocalin-like domain		
PF08218	Citrate_ly_lig	Citrate lyase ligase C-terminal domain	GO:0003824,GO:0016874	citrate lyase=4.1.3.6;citrate lyase ligase=6.2.1.22
PF08219	TOM13	Outer membrane protein TOM13	GO:0005737,GO:0016020,GO:0019867	
PF08220	HTH_DeoR	DeoR-like helix-turn-helix domain	GO:0003700,GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF08221	HTH_9	RNA polymerase III subunit RPC82 helix-turn-helix domain		rna polymerase iii=2.7.7.6
PF08222	HTH_CodY	CodY helix-turn-helix domain		
PF08224	DUF1719	Domain of unknown function (DUF1719)		
PF08226	DUF1720	Domain of unknown function (DUF1720)		
PF08229	SHR3_chaperone	ER membrane protein SH3		
PF08236	SRI	SRI (Set2 Rpb1 interacting) domain	GO:0006355,GO:0019222,GO:0065007	
PF08238	Sel1	Sel1 repeat		
PF08240	ADH_N	Alcohol dehydrogenase GroES-like domain		alcohol dehydrogenase=1.1.1.1|1.1.2.8|1.1.5.5|1.1.9.1|1.1.99.36
PF08241	Methyltransf_11	Methyltransferase domain	GO:0003824,GO:0008168,GO:0016740	methyltransferase=2.5.1.61
PF08242	Methyltransf_12	Methyltransferase domain		methyltransferase=2.5.1.61
PF08244	Glyco_hydro_32C	Glycosyl hydrolases family 32 C terminal		
PF08245	Mur_ligase_M	Mur ligase middle domain	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0009058,GO:0016874	
PF08263	LRRNT_2	Leucine rich repeat N-terminal domain		
PF08264	Anticodon_1	Anticodon-binding domain of tRNA ligase	GO:0003824,GO:0004812,GO:0006412,GO:0006418,GO:0006520,GO:0009058,GO:0016070,GO:0016874,GO:0043039	
PF08267	Meth_synt_1	Cobalamin-independent synthase, N-terminal domain	GO:0003824,GO:0005488,GO:0006520,GO:0008168,GO:0008270,GO:0008652,GO:0009058,GO:0016740,GO:0046872	
PF08271	Zn_Ribbon_TF	TFIIB zinc-binding		
PF08272	Zn_Ribbon_Topo	Topoisomerase I zinc-ribbon-like	GO:0003677,GO:0003824,GO:0003916,GO:0005488,GO:0006265,GO:0016853	
PF08273	Zn_Ribbon_Prim	Zinc-binding domain of primase-helicase	GO:0003824,GO:0004386,GO:0005488,GO:0008270,GO:0016853,GO:0046872	
PF08274	Zn_Ribbon_YjdM	PhnA Zinc-Ribbon		
PF08275	DNAG_N	DNA primase catalytic core, N-terminal domain		
PF08278	DnaG_DnaB_bind	DNA primase DnaG DnaB-binding	GO:0006260,GO:0006261,GO:0009058,GO:0016070	dna primase dnag=2.7.7.101
PF08279	HTH_11	HTH domain		
PF08280	HTH_Mga	M protein trans-acting positive regulator (MGA) HTH domain		
PF08281	Sigma70_r4_2	Sigma-70, region 4	GO:0003677,GO:0003700,GO:0005488,GO:0006351,GO:0006352,GO:0006355,GO:0009058,GO:0016070,GO:0016987,GO:0019222,GO:0065007,GO:0140110	
PF08282	Hydrolase_3	haloacid dehalogenase-like hydrolase		
PF08284	RVP_2	Retroviral aspartyl protease		
PF08285	DPM3	Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)	GO:0009058	dolichol-phosphate mannosyltransferase=2.4.1.83
PF08288	PIGA	PIGA (GPI anchor biosynthesis)	GO:0006629,GO:0006644,GO:0006650,GO:0008610,GO:0008654,GO:0009058,GO:0046486,GO:0051604	
PF08290	Hep_core_N	Hepatitis core protein, putative zinc finger	GO:0005198	
PF08291	Peptidase_M15_3	Peptidase M15		
PF08292	RNA_pol_Rbc25	RNA polymerase III subunit Rpc25		rna polymerase iii=2.7.7.6
PF08293	MRP-S33	Mitochondrial ribosomal subunit S27		
PF08294	TIM21	TIM21	GO:0005737,GO:0006810,GO:0006886,GO:0015031,GO:0016020,GO:0055085,GO:0065002	
PF08298	AAA_PrkA	PrkA AAA domain		
PF08299	Bac_DnaA_C	Bacterial dnaA protein helix-turn-helix	GO:0000166,GO:0003677,GO:0005488,GO:0005524,GO:0006260,GO:0006261,GO:0006275,GO:0019222,GO:0043565,GO:0065007	
PF08300	HCV_NS5a_1a	Hepatitis C virus non-structural 5a zinc finger domain	GO:0005488,GO:0008270,GO:0046872	
PF08302	tRNA_lig_CPD	Fungal tRNA ligase phosphodiesterase domain	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0006396,GO:0008033,GO:0009058,GO:0016070,GO:0016874	phosphodiesterase=3.1.4.1
PF08303	tRNA_lig_kinase	tRNA ligase kinase domain	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0006396,GO:0008033,GO:0009058,GO:0016070,GO:0016874	
PF08305	NPCBM	NPCBM/NEW2 domain		
PF08306	Glyco_hydro_98M	Glycosyl hydrolase family 98		
PF08307	Glyco_hydro_98C	Glycosyl hydrolase family 98 C-terminal domain		
PF08309	LVIVD	LVIVD repeat		
PF08313	SCA7	SCA7, zinc-binding domain		
PF08318	COG4_m	COG4 transport protein, middle alpha-helical bundle		
PF08321	PPP5	PPP5 TPR repeat region		
PF08323	Glyco_transf_5	Starch synthase catalytic domain		starch synthase=2.4.1.21|2.4.99.16
PF08328	ASL_C	Adenylosuccinate lyase C-terminal	GO:0003824,GO:0006163,GO:0006164,GO:0006188,GO:0009058,GO:0009117,GO:0009165,GO:0016829,GO:0055086	adenylosuccinate lyase=4.3.2.2
PF08329	ChitinaseA_N	Chitinase A, N-terminal domain	GO:0003824,GO:0004553,GO:0004568,GO:0006032,GO:0016787,GO:0016798	chitinase=3.2.1.14
PF08331	QueG_DUF1730	Epoxyqueuosine reductase QueG, DUF1730		epoxyqueuosine reductase=1.17.99.6
PF08332	CaMKII_AD	Calcium/calmodulin dependent protein kinase II association domain	GO:0003824,GO:0004674,GO:0005488,GO:0005515,GO:0016301,GO:0016740,GO:0016772,GO:0036211	protein kinase=2.7.13.1|2.7.13.2|2.7.13.3
PF08334	T2SSG	Type II secretion system (T2SS), protein G		
PF08335	GlnD_UR_UTase	GlnD PII-uridylyltransferase	GO:0003824,GO:0016740,GO:0016772,GO:0016779	
PF08338	DUF1731	Domain of unknown function (DUF1731)		
PF08340	YicC-like_C	Endoribonuclease YicC-like, C-terminal		
PF08343	RNR_N	Ribonucleotide reductase N-terminal		ribonucleotide reductase=1.17.4.1|1.17.4.2
PF08344	TRP_2	Transient receptor ion channel II		
PF08345	YscJ_FliF_C	Flagellar M-ring protein C-terminal		
PF08347	CTNNB1_binding	N-terminal CTNNB1 binding		
PF08349	DUF1722	Protein of unknown function (DUF1722)		
PF08350	FilR1_middle	Methanogenesis regulatory protein FilR1, middle domain		
PF08351	TmcA_N	tRNA(Met) cytidine acetyltransferase TmcA, N-terminal		trna(met) cytidine acetyltransferase=2.3.1.193
PF08352	oligo_HPY	Oligopeptide/dipeptide transporter, C-terminal region	GO:0000166,GO:0005488,GO:0005524,GO:0006810,GO:0015833	
PF08353	MurT_C	MurT ligase C-terminal		
PF08354	Fas1-AflB-like_hel	Fatty acid synthase subunit beta/Fas1-like, helical	GO:0003824,GO:0004318,GO:0016491	
PF08359	TetR_C_4	YsiA-like protein, C-terminal region		
PF08360	TetR_C_5	QacR-like protein, C-terminal region	GO:0003700,GO:0006355,GO:0019222,GO:0045892,GO:0065007,GO:0140110	
PF08361	TetR_C_2	MAATS-type transcriptional repressor, C-terminal region	GO:0003677,GO:0005488	
PF08362	TetR_C_3	YcdC-like protein, C-terminal region	GO:0006355,GO:0019222,GO:0045892,GO:0065007	
PF08363	GbpC	Glucan-binding protein C		protein c=3.4.21.69
PF08364	IF2_assoc	Bacterial translation initiation factor IF-2 associated region		initiation factor=3.6.5.3
PF08367	M16C_assoc	Peptidase M16C associated	GO:0006508	
PF08369	PCP_red	Proto-chlorophyllide reductase 57 kD subunit	GO:0003824,GO:0006779,GO:0009058,GO:0015979,GO:0016491,GO:0033014	
PF08370	PDR_assoc	Plant PDR ABC transporter associated		
PF08372	PRT_C	Plant phosphoribosyltransferase C-terminal		
PF08375	Rpn3_C	Proteasome regulatory subunit C-terminal	GO:0000502,GO:0019222,GO:0065007	proteasome=3.4.25.1
PF08378	NERD	Nuclease-related domain		
PF08381	BRX	Transcription factor regulating root and shoot growth via Pin3		
PF08386	Abhydrolase_4	TAP-like protein		
PF08396	Toxin_34	Spider toxin omega agatoxin/Tx1 family	GO:0090729	
PF08398	Phospholip_A2_4	Phospholipase A2-like domain	GO:0005198	
PF08400	phage_tail_N	Prophage tail fibre N-terminal		
PF08402	TOBE_2	TOBE domain	GO:0000166,GO:0005215,GO:0005488,GO:0005524,GO:0005886,GO:0006810,GO:0016020,GO:0022857,GO:0043190,GO:0055085	
PF08403	AA_permease_N	Amino acid permease N-terminal		
PF08407	Chitin_synth_1N	Chitin synthase N-terminal	GO:0003824,GO:0016740,GO:0016757	chitin synthase=2.4.1.16
PF08408	DNA_pol_B_3	DNA polymerase family B viral insert	GO:0003824,GO:0003887,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF08409	TMTC_DUF1736	Protein O-mannosyl-transferase TMTC, DUF1736		
PF08410	DUF1737	Domain of unknown function (DUF1737)		
PF08411	Exonuc_X-T_C	Exonuclease C-terminal	GO:0003824,GO:0004518,GO:0004527,GO:0004536,GO:0006281,GO:0006950,GO:0016787,GO:0016788	
PF08412	Ion_trans_N	Ion transport protein N-terminal		
PF08414	NADPH_Ox	Respiratory burst NADPH oxidase	GO:0003824,GO:0004601,GO:0016209,GO:0016491	
PF08416	PTB	Phosphotyrosine-binding domain	GO:0005488,GO:0005515	
PF08417	PaO	Pheophorbide a oxygenase	GO:0003824,GO:0004497,GO:0016491	pheophorbide a oxygenase=1.14.15.17
PF08418	Pol_alpha_B_N	DNA polymerase alpha subunit B N-terminal		
PF08421	Methyltransf_13	Putative zinc binding domain		
PF08423	Rad51	Rad51		
PF08432	Vfa1	AAA-ATPase Vps4-associated protein 1		
PF08434	CLCA	Calcium-activated chloride channel N terminal		
PF08436	DXP_redisom_C	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain	GO:0005488,GO:0005515	
PF08437	Glyco_transf_8C	Glycosyl transferase family 8 C-terminal	GO:0000271,GO:0003824,GO:0005975,GO:0006629,GO:0008610,GO:0008653,GO:0009058,GO:0009103,GO:0016740,GO:0016757	
PF08438	YGR210-like_G4	Obg-like GTPase YGR210-like, G4 motif-containing domain		
PF08439	Peptidase_M3_N	Oligopeptidase F		
PF08442	ATP-grasp_2	ATP-grasp domain		
PF08443	RimK	RimK-like ATP-grasp domain		
PF08444	Gly_acyl_tr_C	Aralkyl acyl-CoA:amino acid N-acyltransferase, C-terminal region		
PF08452	DNAP_B_exo_N	DNA polymerase family B exonuclease domain, N-terminal	GO:0003824,GO:0003887,GO:0016740,GO:0016772,GO:0016779,GO:0034061	
PF08453	Peptidase_M9_N	Peptidase family M9 N-terminal		
PF08455	SNF2_assoc	Bacterial SNF2 helicase associated		
PF08456	Vmethyltransf_C	Viral methyltransferase C-terminal		methyltransferase=2.5.1.61
PF08459	UvrC_RNaseH_dom	UvrC RNAse H endonuclease domain	GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0009381,GO:0016787,GO:0016788	endonuclease=3.1.30.2;rnase h=3.1.26.4
PF08461	HTH_12	Ribonuclease R winged-helix domain		
PF08463	EcoEI_R_C	EcoEI R protein C-terminal	GO:0003677,GO:0003824,GO:0005488,GO:0006304	
PF08465	Herpes_TK_C	Thymidine kinase from Herpesvirus C-terminal	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0016301,GO:0016740,GO:0016772	thymidine kinase=2.7.1.21
PF08466	IRK_N	Inward rectifier potassium channel N-terminal		
PF08467	Luteo_P1-P2	Luteovirus RNA polymerase P1-P2/replicase	GO:0003824,GO:0016740,GO:0016772,GO:0016779	
PF08468	MTS_N	Methyltransferase small domain N-terminal	GO:0003824,GO:0006364,GO:0006396,GO:0008168,GO:0008170,GO:0008649,GO:0009058,GO:0016070,GO:0016740,GO:0042254	methyltransferase=2.5.1.61
PF08469	NPHI_C	Nucleoside triphosphatase I C-terminal	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0006351,GO:0009058,GO:0016070,GO:0016787	triphosphatase=3.6.1.25
PF08471	Ribonuc_red_2_N	Class II vitamin B12-dependent ribonucleotide reductase	GO:0003824,GO:0004748,GO:0005488,GO:0016491,GO:0046872,GO:0050897	ribonucleotide reductase=1.17.4.1|1.17.4.2
PF08472	S6PP_C	Sucrose-6-phosphate phosphohydrolase C-terminal	GO:0003824,GO:0005975,GO:0009058,GO:0016787,GO:0016788,GO:0016791	
PF08473	VGCC_alpha2	Neuronal voltage-dependent calcium channel alpha 2acd		
PF08474	MYT1	Myelin transcription factor 1		
PF08477	Roc	Ras of Complex, Roc, domain of DAPkinase		
PF08478	POTRA_1	POTRA domain, FtsQ-type		
PF08482	HrpB_C	ATP-dependent helicase C-terminal		
PF08484	Methyltransf_14	C-methyltransferase C-terminal domain		
PF08485	Polysacc_syn_2C	Polysaccharide biosynthesis protein C-terminal	GO:0000271,GO:0003824,GO:0005975,GO:0006629,GO:0008610,GO:0008653,GO:0009058,GO:0009103,GO:0016853,GO:0016854,GO:0016857	
PF08488	WAK	Wall-associated kinase	GO:0003824,GO:0004674,GO:0016020,GO:0016301,GO:0016740,GO:0016772	
PF08490	DUF1744	Domain of unknown function (DUF1744)	GO:0003824,GO:0003887,GO:0005488,GO:0006260,GO:0008270,GO:0016740,GO:0016772,GO:0016779,GO:0034061,GO:0046872	
PF08491	SE	Squalene epoxidase	GO:0000166,GO:0003824,GO:0004497,GO:0005488,GO:0016020,GO:0016491,GO:0050660	squalene epoxidase=1.14.14.17
PF08492	SRP72	SRP72 RNA-binding domain	GO:0003723,GO:0005488,GO:0005737,GO:0006605,GO:0006614,GO:0048500	
PF08494	DEAD_assoc	DEAD/H associated	GO:0000166,GO:0003824,GO:0005488,GO:0005524,GO:0016787	
PF08496	Peptidase_S49_N	Peptidase family S49 N-terminal	GO:0003824,GO:0004252,GO:0005886,GO:0008233,GO:0016020,GO:0016787	
PF08497	Radical_SAM_N	Radical SAM N-terminal		
PF08498	Sterol_MT_C	Sterol methyltransferase C-terminal	GO:0003824,GO:0006629,GO:0008168,GO:0008610,GO:0009058,GO:0016740	methyltransferase=2.5.1.61
PF08499	PDEase_I_N	3'5'-cyclic nucleotide phosphodiesterase N-terminal		phosphodiesterase=3.1.4.1
PF08501	Shikimate_dh_N	Shikimate dehydrogenase substrate binding domain	GO:0003824,GO:0016491	shikimate dehydrogenase=1.1.1.25
PF08502	LeuA_dimer	LeuA allosteric (dimerisation) domain	GO:0003824,GO:0006520,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0016740	
PF08503	DapH_N	Tetrahydrodipicolinate succinyltransferase N-terminal	GO:0003824,GO:0008080,GO:0016407,GO:0016740	tetrahydrodipicolinate succinyltransferase=2.3.1.117
PF08508	DUF1746	Fungal domain of unknown function (DUF1746)		
PF08509	Ad_cyc_g-alpha	Adenylate cyclase G-alpha binding domain	GO:0000287,GO:0003824,GO:0005488,GO:0006163,GO:0006164,GO:0009058,GO:0009117,GO:0009165,GO:0016829,GO:0046872,GO:0055086	adenylate cyclase=4.6.1.1
PF08512	Rttp106-like_middle	Histone chaperone Rttp106-like, middle domain		
PF08519	RFC1	Replication factor RFC1 C terminal domain	GO:0000166,GO:0003689,GO:0003824,GO:0005488,GO:0005524,GO:0005663,GO:0006260	
PF08521	2CSK_N	Two-component sensor kinase N-terminal		
PF08530	PepX_C	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain	GO:0003824,GO:0008233,GO:0016787	x-pro dipeptidyl-peptidase=3.4.14.11
PF08534	Redoxin	Redoxin	GO:0003824,GO:0016491	
PF08536	Whirly	Whirly transcription factor	GO:0003677,GO:0003697,GO:0005488,GO:0006355,GO:0006950,GO:0006952,GO:0019222,GO:0065007	
PF08537	NBP1	Fungal Nap binding protein NBP1		
PF08538	DUF1749	Protein of unknown function (DUF1749)		
PF08540	HMG_CoA_synt_C	Hydroxymethylglutaryl-coenzyme A synthase C terminal	GO:0003824,GO:0006084,GO:0006790,GO:0016740,GO:0055086	
PF08541	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal		
PF08542	Rep_fac_C	Replication factor C C-terminal domain		
PF08543	Phos_pyr_kin	Phosphomethylpyrimidine kinase		phosphomethylpyrimidine kinase=2.7.4.7
PF08544	GHMP_kinases_C	GHMP kinases C terminal		
PF08545	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	GO:0003824,GO:0004315,GO:0006629,GO:0006631,GO:0006633,GO:0008610,GO:0009058,GO:0016740	
PF08546	ApbA_C	Ketopantoate reductase PanE/ApbA C terminal		ketopantoate reductase=1.1.1.169
PF08548	Peptidase_M10_C	Peptidase M10 serralysin C terminal	GO:0005488,GO:0005509,GO:0005576,GO:0046872	serralysin=3.4.24.40
PF08551	DUF1751	Eukaryotic integral membrane protein (DUF1751)		
PF08552	Kei1	Inositolphosphorylceramide synthase subunit Kei1	GO:0006629,GO:0006644	
PF08558	TRF	Telomere repeat binding factor (TRF)	GO:0003677,GO:0005488,GO:0005515,GO:0043565	
PF08559	Cut8	Cut8, nuclear proteasome tether protein	GO:0006950,GO:0010498	proteasome=3.4.25.1
PF08560	DUF1757	Protein of unknown function (DUF1757)		
PF08561	Ribosomal_L37	Mitochondrial ribosomal protein L37		
PF08565	CDC37_M	Cdc37 Hsp90 binding domain		
PF08570	DUF1761	Protein of unknown function (DUF1761)		
PF08573	SAE2	DNA endonuclease activator SAE2/CtIP C-terminus	GO:0006281,GO:0006950	endonuclease=3.1.30.2
PF08574	Iwr1	Transcription factor Iwr1		
PF08576	DUF1764	Eukaryotic protein of unknown function (DUF1764)		
PF08577	PI31_Prot_C	PI31 proteasome regulator		proteasome=3.4.25.1
PF08578	DUF1765	Protein of unknown function (DUF1765)		
PF08579	RPM2	Mitochondrial ribonuclease P subunit (RPM2)		ribonuclease p=3.1.26.5
PF08583	Cmc1	Cytochrome c oxidase biogenesis protein Cmc1 like		
PF08584	Ribonuc_P_40	Ribonuclease P 40kDa (Rpp40) subunit	GO:0006396,GO:0008033,GO:0009058,GO:0016070	ribonuclease p=3.1.26.5
PF08590	DUF1771	Domain of unknown function (DUF1771)		
PF08591	RNR_inhib	Ribonucleotide reductase inhibitor		ribonucleotide reductase=1.17.4.1|1.17.4.2
PF08592	Anthrone_oxy	Anthrone oxygenase		
PF08597	eIF3_subunit	Translation initiation factor eIF3 subunit	GO:0003743,GO:0005737	initiation factor=3.6.5.3
PF08601	PAP1	Transcription factor PAP1		
PF08602	Mgr1	Mgr1-like, i-AAA protease complex subunit	GO:0005737,GO:0016020	
PF08605	Rad9_Rad53_bind	Fungal Rad9-like Rad53-binding		
PF08610	Pex16	Peroxisomal membrane protein (Pex16)		
PF08611	DUF1774	Fungal protein of unknown function (DUF1774)		
PF08612	Med20	TATA-binding related factor (TRF) of subunit 20 of Mediator complex	GO:0006355,GO:0019222,GO:0065007,GO:0140110	
PF08615	RNase_H2_suC	Ribonuclease H2 non-catalytic subunit (Ylr154p-like)	GO:0016070	
PF08617	CGI-121	Kinase binding protein CGI-121		
PF08618	Opi1	Transcription factor Opi1	GO:0140110	
