# Generated by scripts/build_pfam_predicate_map.py; edit the proposals, not this file.
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (553,641 reviewed proteins with Pfam); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; KO predicates from kegg_predicates.tsv sha256 054c42a1455b7f34
# accession	name	predicates	evidence
PF00795	CN_hydrolase	hydrolase	hydrolase=text:hydrolase
PF00796	PSI_8	photosynthesis	photosynthesis=go:GO:0015979
PF00797	Acetyltransf_2	acetyltransferase,transferase	acetyltransferase=go:GO:0016407;transferase=go:GO:0016740
PF00799	Gemini_AL1	dnase,endonuclease,hydrolase,nuclease	dnase=swissprot:50/50 KOs 2/2 co-domains excluded;endonuclease=swissprot:50/50 KOs 2/2 co-domains excluded;hydrolase=swissprot:50/50 KOs 2/2 co-domains excluded;nuclease=swissprot:50/50 KOs 2/2 co-domains excluded
PF00800	PDT	aromatic_aa_metabolism,dehydratase,lyase	aromatic_aa_metabolism=go:GO:0009072;dehydratase=go:GO:0016836;lyase=go:GO:0016829
PF00801	PKD	adhesin	adhesin=text:PKD
PF00805	Pentapeptide	repeat_domain	repeat_domain=text:Pentapeptide
PF00806	PUF	binding,rna_binding	binding=go:GO:0005488;rna_binding=go:GO:0003723
PF00807	Apidaecin	secreted	secreted=swissprot:6/6 single-domain 6/6
PF00808	CBFD_NFYB_HMF	chromatin,dna_binding,histone,regulator,transcription_factor	chromatin=text:CBFD_NFYB;dna_binding=text:transcription factor;histone=text:CBFD_NFYB;regulator=text:transcription factor;transcription_factor=text:CBFD_NFYB
PF00809	Pterin_bind	binding,transferase	binding=text:bind;transferase=swissprot:75/80 KOs 8/8 single-domain 42/46
PF00814	TsaD	transferase,trna_modification	transferase=text:transferase;trna_modification=text:tRNA
PF00815	Histidinol_dh	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;nad_binding=swissprot:228/231 KOs 4/4 single-domain 221/224;oxidoreductase=go:GO:0016491
PF00817	IMS	dna_repair	dna_repair=go:GO:0006281
PF00821	PEPCK_GTP	gluconeogenesis,kinase,lyase	gluconeogenesis=go:GO:0006094;kinase=text:kinase;lyase=go:GO:0016829
PF00825	Ribonuclease_P	endonuclease,hydrolase,nuclease,rna_binding,rna_processing,rnase	endonuclease=swissprot:507/507 single-domain 507/507;hydrolase=go:GO:0016787;nuclease=go:GO:0004518;rna_binding=swissprot:496/507 single-domain 496/507;rna_processing=swissprot:496/507 single-domain 496/507;rnase=swissprot:507/507 single-domain 507/507
PF00827	Ribosomal_L15e	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00828	Ribosomal_L27A	ribosomal_protein,translation	ribosomal_protein=text:Ribosomal;translation=text:Ribosomal protein
PF00829	Ribosomal_L21p	ribosomal_protein,translation	ribosomal_protein=go:GO:0005840;translation=go:GO:0005840
PF00830	Ribosomal_L28	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0003735
PF00831	Ribosomal_L29	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00832	Ribosomal_L39	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00833	Ribosomal_S17e	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF00834	Ribul_P_3_epim	epimerase,isomerase,pentose_phosphate,racemase	epimerase=go:GO:0016857;isomerase=go:GO:0016853;pentose_phosphate=text:Ribul;racemase=swissprot:51/51 KOs 3/3 single-domain 51/51
PF00837	T4_deiodinase	oxidoreductase	oxidoreductase=swissprot:33/33 KOs 3/3 single-domain 33/33
PF00840	Glyco_hydro_7	carbohydrate_active,glycosidase,hydrolase	carbohydrate_active=swissprot:57/57 KOs 2/2 single-domain 28/28;glycosidase=swissprot:57/57 KOs 2/2 single-domain 28/28;hydrolase=go:GO:0016787
PF00842	Ala_racemase_C	racemase	racemase=swissprot:376/376 KOs 3/3 co-domains excluded
PF00846	Hanta_nucleocap	hydrolase	hydrolase=swissprot:15/15 single-domain 15/15
PF00849	PseudoU_synth_2	isomerase,mutase,synthase	isomerase=go:GO:0016853;mutase=swissprot:213/214 KOs 14/14 single-domain 98/99;synthase=text:synthase
PF00850	Hist_deacetyl	amidase,hydrolase	amidase=swissprot:99/102 KOs 13/13 single-domain 83/86;hydrolase=text:deacetylase
PF00851	Peptidase_C6	hydrolase,protease	hydrolase=go:GO:0016787;protease=go:GO:0008233
PF00852	Glyco_transf_10	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=text:Glyco;glycosyltransferase=text:Glycosyltransferase;transferase=text:transferase
PF00853	Runt	regulator,regulatory	regulator=swissprot:11/13 KOs 5/5 single-domain 4/5;regulatory=swissprot:11/13 KOs 5/5 single-domain 4/5
PF00854	PTR2	transporter	transporter=swissprot:119/130 KOs 12/12 single-domain 119/129
PF00856	SET	methyltransferase,transferase	methyltransferase=swissprot:308/315 KOs 34/35 single-domain 90/90;transferase=swissprot:308/315 KOs 34/35 single-domain 90/90
PF00857	Isochorismatase	hydrolase	hydrolase=enzyme:3.3.2.1 (isochorismatase)
PF00858	ASC	ion_channel,transporter	ion_channel=go:GO:0005216;transporter=go:GO:0005215
PF00860	Xan_ur_permease	membrane,transporter	membrane=go:GO:0016020;transporter=go:GO:0005215
PF00861	Ribosomal_L18p	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00862	GT-B_Sucrose_synth	synthase	synthase=text:synthase
PF00863	Peptidase_C4	hydrolase,protease	hydrolase=go:GO:0016787;protease=go:GO:0008233
PF00864	P2X_receptor	ion_channel,ion_transporter,transporter	ion_channel=swissprot:25/29 KOs 6/7 single-domain 22/26;ion_transporter=swissprot:25/29 KOs 6/7 single-domain 22/26;transporter=swissprot:25/29 KOs 6/7 single-domain 22/26
PF00866	Ring_hydroxyl_B	dioxygenase,nad_binding,oxidoreductase,oxygenase	dioxygenase=swissprot:35/42 KOs 9/10 single-domain 35/42;nad_binding=swissprot:35/42 KOs 9/10 single-domain 35/42;oxidoreductase=swissprot:36/42 KOs 10/10 single-domain 36/42;oxygenase=swissprot:36/42 KOs 10/10 single-domain 36/42
PF00867	XPG_I	dna_repair,hydrolase,nuclease	dna_repair=text:XPG;hydrolase=swissprot:226/227 KOs 6/6 single-domain 7/7;nuclease=go:GO:0004518
PF00868	Transglut_N	transferase	transferase=enzyme:2.3.2.13 (transglutaminase)
PF00870	P53	binding,dna_binding	binding=go:GO:0005488;dna_binding=go:GO:0003677
PF00871	Acetate_kinase	atp_binding,kinase,transferase	atp_binding=swissprot:415/415 KOs 4/4 single-domain 415/415;kinase=go:GO:0016301;transferase=go:GO:0016740
PF00872	Transposase_mut	mobile_element,transposase	mobile_element=go:GO:0004803;transposase=go:GO:0004803
PF00873	ACR_tran	antibiotic_resistance,efflux_pump,membrane,multidrug_resistance,transporter	antibiotic_resistance=text:ACR_tran;efflux_pump=text:ACR_tran;membrane=go:GO:0016020;multidrug_resistance=text:ACR_tran;transporter=go:GO:0005215
PF00875	DNA_photolyase	lyase	lyase=text:lyase
PF00876	Innexin	transporter	transporter=swissprot:37/40 KOs 3/3 single-domain 37/40
PF00877	NLPC_P60	hydrolase,peptidase,protease	hydrolase=swissprot:37/39 KOs 11/11 single-domain 20/21;peptidase=swissprot:36/39 KOs 11/11 single-domain 20/21;protease=swissprot:37/39 KOs 11/11 single-domain 20/21
PF00881	Nitroreductase	fmn_binding,oxidoreductase,reductase	fmn_binding=text:Nitroreductase;oxidoreductase=text:reductase;reductase=text:reductase
PF00882	Zn_dep_PLPC	hydrolase,lipase	hydrolase=text:lipase;lipase=text:lipase
PF00883	Peptidase_M17	hydrolase,peptidase,protease	hydrolase=text:Peptidase;peptidase=swissprot:516/516 KOs 4/4 single-domain 11/11;protease=go:GO:0006508
PF00884	Sulfatase	hydrolase	hydrolase=enzyme:3.1.6.1 (sulfatase)
PF00885	DMRL_synthase	fad_biosynthesis,synthase,transferase	fad_biosynthesis=swissprot:605/621 KOs 2/2 single-domain 605/621;synthase=text:synthase;transferase=swissprot:621/621 KOs 2/2 single-domain 621/621
PF00886	Ribosomal_S16	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF00887	ACBP	binding	binding=go:GO:0005488
PF00889	EF_TS	translation,translation_factor	translation=go:GO:0006412;translation_factor=go:GO:0003746
PF00890	FAD_binding_2	binding,cofactor_binding,fad_binding,oxidoreductase	binding=text:binding;cofactor_binding=text:FAD binding;fad_binding=text:FAD;oxidoreductase=swissprot:217/217 KOs 24/24 single-domain 105/105
PF00891	Methyltransf_2	methyltransferase,transferase	methyltransferase=go:GO:0008168;transferase=go:GO:0016740
PF00892	EamA	membrane,transporter	membrane=go:GO:0016020;transporter=text:EamA
PF00893	Multi_Drug_Res	antibiotic_resistance,efflux_pump,membrane,multidrug_resistance,transporter	antibiotic_resistance=text:Multi_Drug;efflux_pump=text:Multi_Drug_Res;membrane=go:GO:0016020;multidrug_resistance=text:Multi_Drug;transporter=go:GO:0005215
PF00895	ATP-synt_8	atp_synthesis,energy_metabolism,synthase	atp_synthesis=go:GO:0015986;energy_metabolism=go:GO:0015986;synthase=text:synthase
PF00899	ThiF	cofactor_biosynthesis,protein_modification,thiamine_biosynthesis,ubiquitin_activation	cofactor_biosynthesis=text:ThiF;protein_modification=text:ThiF;thiamine_biosynthesis=text:ThiF;ubiquitin_activation=text:ThiF
PF00900	Ribosomal_S4e	ribosomal_protein,translation	ribosomal_protein=text:Ribosomal;translation=text:Ribosomal_
PF00902	TatC	secretion_component,tat_pathway	secretion_component=text:TatC;tat_pathway=text:Tat
PF00903	Glyoxalase	antibiotic_resistance,dioxygenase,oxidoreductase,oxygenase	antibiotic_resistance=text:Bleomycin;dioxygenase=text:Dioxygenase;oxidoreductase=text:oxygenase;oxygenase=text:oxygenase
PF00905	Transpeptidase	binding,cell_wall,hydrolase,pbp,peptidoglycan	binding=go:GO:0005488;cell_wall=text:Penicillin binding;hydrolase=swissprot:100/114 KOs 22/26 single-domain 20/20;pbp=go:GO:0008658;peptidoglycan=text:Transpeptidase
PF00908	dTDP_sugar_isom	carbohydrate_active,epimerase,isomerase,racemase	carbohydrate_active=text:dTDP;epimerase=go:GO:0016857;isomerase=go:GO:0016853;racemase=swissprot:18/18 KOs 4/4 single-domain 18/18
PF00909	Ammonium_transp	nitrogen_metabolism,transporter	nitrogen_metabolism=text:Ammonium;transporter=go:GO:0005215
PF00910	RNA_helicase	helicase	helicase=go:GO:0004386
PF00912	Transgly	base_excision_repair,carbohydrate_active,cell_wall,dna_repair,glycosyltransferase,murein_synthesis,peptidoglycan,transferase	base_excision_repair=text:glycosylase;carbohydrate_active=swissprot:217/236 KOs 8/8 single-domain 179/188;cell_wall=text:Transgly;dna_repair=text:glycosylase;glycosyltransferase=swissprot:235/236 KOs 8/8 single-domain 187/188;murein_synthesis=text:Transgly;peptidoglycan=text:Transgly;transferase=text:Transglycosylase
PF00916	Sulfate_transp	membrane,transporter	membrane=go:GO:0016020;transporter=text:Sulfate_transp
PF00919	UPF0004	hypothetical	hypothetical=text:Uncharacterized
PF00920	ILVD_EDD_N	branched_chain_aa,dehydratase,lyase	branched_chain_aa=text:ILVD;dehydratase=text:dehydratase;lyase=text:dehydratase
PF00923	TAL_FSA	pentose_phosphate	pentose_phosphate=text:Transaldolase
PF00924	MS_channel_2nd	ion_channel,transporter	ion_channel=text:channel;transporter=go:GO:0006810
PF00925	GTP_cyclohydro2	cofactor_biosynthesis,fad_biosynthesis,hydrolase	cofactor_biosynthesis=text:GTP cyclohydrolase;fad_biosynthesis=swissprot:222/236 KOs 2/2 single-domain 129/134;hydrolase=text:hydrolase
PF00926	DHBP_synthase	fad_biosynthesis,lyase,synthase	fad_biosynthesis=swissprot:240/249 KOs 2/2 single-domain 148/150;lyase=swissprot:249/249 KOs 2/2 single-domain 150/150;synthase=text:synthase
PF00927	Transglut_C	transferase	transferase=go:GO:0016740
PF00929	RNase_T	hydrolase,nuclease	hydrolase=text:nuclease;nuclease=text:Exonuclease
PF00930	DPPIV_N	hydrolase,protease	hydrolase=text:peptidase;protease=go:GO:0006508
PF00933	Glyco_hydro_3	carbohydrate_active,glycosidase,hydrolase	carbohydrate_active=swissprot:249/249 KOs 3/3 single-domain 122/122;glycosidase=swissprot:249/249 KOs 3/3 single-domain 122/122;hydrolase=go:GO:0016787
PF00935	Ribosomal_L44	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF00939	Na_sulph_symp	membrane,sulfate_transporter,symporter,transporter	membrane=go:GO:0016020;sulfate_transporter=text:sulfate;symporter=text:Na_sulph;transporter=go:GO:0005215
PF00940	RNA_pol	nucleotidyltransferase,rna_polymerase,transcription,transferase	nucleotidyltransferase=swissprot:29/29 KOs 2/2 single-domain 8/8;rna_polymerase=text:RNA_pol;transcription=text:RNA_pol;transferase=swissprot:29/29 KOs 2/2 single-domain 8/8
PF00941	FAD_binding_5	binding,cofactor_binding,dehydrogenase,fad_binding,metal_binding,molybdenum_binding,oxidoreductase	binding=text:binding;cofactor_binding=text:FAD binding;dehydrogenase=text:dehydrogenase;fad_binding=text:FAD;metal_binding=text:molybd;molybdenum_binding=text:molybd;oxidoreductase=go:GO:0016491
PF00942	CBM_3	binding	binding=go:GO:0005488
PF00944	Peptidase_S3	hydrolase,protease	hydrolase=go:GO:0016787;protease=go:GO:0008233
PF00946	Mononeg_RNA_pol	rna_polymerase,transcription	rna_polymerase=text:RNA_pol;transcription=text:RNA_pol
PF00949	Peptidase_S7	hydrolase,protease	hydrolase=text:Peptidase;protease=text:protease
PF00950	ABC-3	abc_transporter,transporter	abc_transporter=go:GO:0043190;transporter=go:GO:0006810
PF00953	Glycos_transf_4	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=text:Glyco;glycosyltransferase=text:Glycosyl transferase;transferase=go:GO:0016740
PF00955	HCO3_cotransp	membrane,transporter	membrane=go:GO:0016020;transporter=swissprot:52/54 KOs 11/11 single-domain 11/11
PF00958	GMP_synt_C	cysteine_protease,ligase,peptidase,purine_metabolism,synthase,synthetase	cysteine_protease=swissprot:619/625 single-domain 6/6;ligase=go:GO:0016874;peptidase=swissprot:619/625 single-domain 6/6;purine_metabolism=go:GO:0006163;synthase=text:synthase;synthetase=swissprot:625/625 single-domain 6/6
PF00959	Phage_lysozyme	carbohydrate_active,glycosidase,hydrolase,phage_related	carbohydrate_active=swissprot:26/27 KOs 3/3 single-domain 22/23;glycosidase=swissprot:26/27 KOs 3/3 single-domain 22/23;hydrolase=swissprot:26/27 KOs 3/3 single-domain 22/23;phage_related=text:Phage
PF00961	LAGLIDADG_1	hydrolase,mobile_element,nuclease	hydrolase=text:nuclease;mobile_element=text:LAGLIDADG;nuclease=go:GO:0004518
PF00962	A_deaminase	deaminase,hydrolase,nucleotide_metabolism	deaminase=go:GO:0019239;hydrolase=go:GO:0016787;nucleotide_metabolism=text:A_deaminase
PF00963	Cohesin	adhesin,cell_surface,cohesin	adhesin=text:Cohesin;cell_surface=text:Cohesin;cohesin=text:Cohesin
PF00970	FAD_binding_6	binding,cofactor_binding,fad_binding,oxidoreductase,reductase	binding=text:binding;cofactor_binding=text:FAD-binding;fad_binding=text:FAD;oxidoreductase=text:Oxidoreductase;reductase=text:Oxidored
PF00972	Flavi_NS5	rna_polymerase,transcription	rna_polymerase=text:RNA pol;transcription=text:RNA pol
PF00975	Thioesterase	esterase,hydrolase	esterase=text:esterase;hydrolase=text:esterase
PF00977	His_biosynth	amino_acid_biosynthesis,biosynthesis,histidine_biosynthesis	amino_acid_biosynthesis=go:GO:0008652;biosynthesis=go:GO:0009058;histidine_biosynthesis=go:GO:0000105
PF00978	RdRP_2	nucleotidyltransferase,rna_polymerase,transcription,transferase	nucleotidyltransferase=swissprot:140/140 KOs 7/7 single-domain 22/22;rna_polymerase=text:RNA pol;transcription=go:GO:0006351;transferase=swissprot:140/140 KOs 7/7 single-domain 22/22
PF00981	Rota_NS53	binding,rna_binding	binding=go:GO:0005488;rna_binding=go:GO:0003723
PF00982	Glyco_transf_20	carbohydrate_active,glycosyltransferase,synthase,transferase	carbohydrate_active=go:GO:0005975;glycosyltransferase=text:Glycosyltransferase;synthase=swissprot:74/90 KOs 4/5 single-domain 53/61;transferase=text:transferase
PF00984	UDPG_MGDP_dh	carbohydrate_active,dehydrogenase,oxidoreductase	carbohydrate_active=text:UDP;dehydrogenase=text:dehydrogenase;oxidoreductase=go:GO:0016491
PF00986	DNA_gyraseB_C	replication,topoisomerase	replication=text:gyrase;topoisomerase=go:GO:0003916
PF00988	CPSase_sm_chain	amino_acid_metabolism,ligase,synthase	amino_acid_metabolism=text:CPSase;ligase=enzyme:6.3.4.16 (carbamoyl-phosphate synthase);synthase=text:synthase
PF00990	GGDEF	cyclic_dinucleotide,diguanylate_cyclase,signaling	cyclic_dinucleotide=text:GGDEF;diguanylate_cyclase=text:GGDEF;signaling=text:Diguanylate
PF00994	MoCF_biosynth	binding,biosynthesis,metal_binding,molybdenum_binding	binding=text:binding;biosynthesis=text:biosynth;metal_binding=text:molybd;molybdenum_binding=text:MoCF
PF00998	RdRP_3	nucleotidyltransferase,rna_polymerase,transcription,transferase	nucleotidyltransferase=swissprot:60/60 KOs 3/3 single-domain 6/6;rna_polymerase=text:RNA pol;transcription=text:RNA pol;transferase=swissprot:60/60 KOs 3/3 single-domain 6/6
PF00999	Na_H_Exchanger	ion_transporter,membrane,sodium_transporter,transporter	ion_transporter=go:GO:0006811;membrane=go:GO:0016020;sodium_transporter=text:Na_;transporter=go:GO:0005215
PF01000	RNA_pol_A_bac	rna_polymerase,transcription	rna_polymerase=go:GO:0003899;transcription=go:GO:0006351
PF01007	IRK	ion_channel,membrane,transporter	ion_channel=text:IRK;membrane=text:channel;transporter=text:channel
PF01008	IF-2B	translation,translation_factor	translation=text:Initiation factor;translation_factor=text:Initiation factor
PF01010	Proton_antipo_C	antiporter,electron_transport,membrane,translocase,transporter	antiporter=text:Proton_antipo;electron_transport=swissprot:125/125 single-domain 3/3;membrane=text:Proton_antipo;translocase=swissprot:125/125 single-domain 3/3;transporter=enzyme:7.1.1.2 (complex i)
PF01011	PQQ	oxidoreductase,pqq_binding	oxidoreductase=swissprot:32/32 KOs 12/12 single-domain 21/21;pqq_binding=text:PQQ
PF01012	ETF	electron_transport,fad_binding,flavin_binding	electron_transport=text:Electron transfer;fad_binding=text:flavoprotein;flavin_binding=text:ETF
PF01014	Uricase	nitrogen_metabolism,oxidoreductase	nitrogen_metabolism=swissprot:32/32 KOs 2/2 single-domain 30/30;oxidoreductase=swissprot:32/32 KOs 2/2 single-domain 30/30
PF01015	Ribosomal_S3Ae	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF01016	Ribosomal_L27	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF01017	STAT_alpha	coiled_coil,dna_binding,regulator,transcription_factor	coiled_coil=text:coiled-coil;dna_binding=text:transcription factor;regulator=go:GO:0065007;transcription_factor=go:GO:0006355
PF01019	G_glu_transpept	hydrolase,peptidase,protease	hydrolase=enzyme:3.4.19.13 (gamma-glutamyltranspeptidase);peptidase=swissprot:35/42 KOs 3/3 single-domain 35/42;protease=enzyme:3.4.19.13 (gamma-glutamyltranspeptidase)
PF01020	Ribosomal_L40e	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF01022	HTH_5	dna_binding,helix_turn_helix,regulator,transcription_factor	dna_binding=go:GO:0003700;helix_turn_helix=text:HTH;regulator=go:GO:0065007;transcription_factor=go:GO:0003700
PF01023	S_100	binding,calcium_binding,metal_binding	binding=text:binding;calcium_binding=text:S_100;metal_binding=text:calcium
PF01025	GrpE	chaperone,heat_shock,stress_response	chaperone=go:GO:0006457;heat_shock=swissprot:571/596 single-domain 571/596;stress_response=swissprot:571/596 single-domain 571/596
PF01026	TatD_DNase	dnase,hydrolase	dnase=text:DNase;hydrolase=go:GO:0016787
PF01028	Topoisom_I	isomerase,replication,topoisomerase	isomerase=go:GO:0016853;replication=text:topoisomerase;topoisomerase=go:GO:0003916
PF01032	FecCD	abc_transporter,transporter	abc_transporter=swissprot:100/103 KOs 16/16 single-domain 100/103;transporter=go:GO:0005215
PF01035	DNA_binding_1	binding,dna_binding,methyltransferase,transferase	binding=text:binding;dna_binding=text:DNA methyltransferase;methyltransferase=text:methyltransferase;transferase=text:transferase
PF01037	AsnC_trans_reg	asnc_family,binding,dna_binding,regulator	asnc_family=text:AsnC;binding=text:binding;dna_binding=text:AsnC;regulator=text:AsnC
PF01039	Carboxyl_trans	transferase	transferase=text:transferase
PF01040	UbiA	cofactor_biosynthesis,isoprenoid_biosynthesis,membrane,transferase	cofactor_biosynthesis=text:UbiA;isoprenoid_biosynthesis=text:UbiA;membrane=go:GO:0016020;transferase=go:GO:0016740
PF01041	DegT_DnrJ_EryC1	aminotransferase,plp_binding,secondary_metabolism,transferase	aminotransferase=text:aminotransferase;plp_binding=swissprot:107/123 KOs 20/23 single-domain 106/120;secondary_metabolism=text:DegT;transferase=text:transferase
PF01042	Ribonuc_L-PSP	hydrolase,nuclease	hydrolase=text:nuclease;nuclease=text:ribonuclease
PF01043	SecA_PP_bind	binding,sec_pathway,secretion_component	binding=text:bind;sec_pathway=text:SecA;secretion_component=go:GO:0015031
PF01047	MarR	dna_binding,marr_family,regulator,transcription_factor	dna_binding=go:GO:0003700;marr_family=text:MarR;regulator=go:GO:0065007;transcription_factor=go:GO:0003700
PF01048	PNP_UDP_1	nucleotide_metabolism	nucleotide_metabolism=go:GO:0009116
PF01050	MannoseP_isomer	carbohydrate_active,isomerase	carbohydrate_active=go:GO:0005975;isomerase=text:isomerase
PF01052	FliMN_C	flagellum	flagellum=text:FliM
PF01053	Cys_Met_Meta_PP	cofactor_binding,plp_binding,sulfur_metabolism	cofactor_binding=text:PLP-dependent;plp_binding=go:GO:0030170;sulfur_metabolism=go:GO:0006790
PF01055	Glyco_hydro_31_2nd	hydrolase	hydrolase=go:GO:0016787
PF01058	Oxidored_q6	oxidoreductase,reductase	oxidoreductase=text:oxidoreductase;reductase=text:Oxidored
PF01059	Oxidored_q5_N	nad_binding,oxidoreductase,reductase	nad_binding=enzyme:1.6.5.9 (nadh-ubiquinone oxidoreductase);oxidoreductase=text:oxidoreductase;reductase=text:Oxidored
PF01061	ABC2_membrane	abc_atpase,abc_transporter,membrane,transporter	abc_atpase=go:GO:0140359;abc_transporter=go:GO:0140359;membrane=go:GO:0016020;transporter=go:GO:0005215
PF01062	Bestrophin	ion_channel,transporter	ion_channel=go:GO:0005216;transporter=go:GO:0005215
PF01063	Aminotran_4	aminotransferase,transferase	aminotransferase=text:Aminotran;transferase=text:transferase
PF01066	CDP-OH_P_transf	lipid_metabolism,phospholipid_metabolism,transferase	lipid_metabolism=go:GO:0006629;phospholipid_metabolism=go:GO:0006644;transferase=go:GO:0016740
PF01068	DNA_ligase_A_M	dna_repair,ligase,ligase_dna	dna_repair=go:GO:0006281;ligase=go:GO:0016874;ligase_dna=go:GO:0003909
PF01070	FMN_dh	cofactor_binding,dehydrogenase,fmn_binding,oxidoreductase	cofactor_binding=text:FMN-dependent;dehydrogenase=text:dehydrogenase;fmn_binding=text:FMN;oxidoreductase=go:GO:0016491
PF01071	GARS_A	atp_binding,ligase,purine_metabolism	atp_binding=text:ATP;ligase=text:synthetase;purine_metabolism=text:GAR
PF01073	3Beta_HSD	dehydrogenase,isomerase,lipid_metabolism,nad_binding,oxidoreductase	dehydrogenase=text:dehydrogenase;isomerase=text:isomerase;lipid_metabolism=go:GO:0006629;nad_binding=swissprot:59/61 KOs 9/9 single-domain 57/59;oxidoreductase=go:GO:0016491
PF01074	Glyco_hydro_38N	hydrolase	hydrolase=go:GO:0016787
PF01075	Glyco_transf_9	carbohydrate_active,glycosyltransferase,transferase	carbohydrate_active=go:GO:0016757;glycosyltransferase=go:GO:0016757;transferase=go:GO:0016740
PF01077	NIR_SIR	iron_sulfur,metal_binding,oxidoreductase,reductase	iron_sulfur=go:GO:0051536;metal_binding=text:4Fe-4S;oxidoreductase=go:GO:0016491;reductase=text:reductase
PF01078	Mg_chelatase	atp_binding,chelatase,magnesium_binding	atp_binding=go:GO:0005524;chelatase=text:chelatase;magnesium_binding=text:Mg_chelatase
PF01080	Presenilin	hydrolase,peptidase,protease	hydrolase=swissprot:29/29 KOs 2/2 single-domain 29/29;peptidase=swissprot:29/29 KOs 2/2 single-domain 29/29;protease=swissprot:29/29 KOs 2/2 single-domain 29/29
PF01081	Aldolase	lyase	lyase=swissprot:14/14 KOs 2/2 single-domain 14/14
PF01082	Cu2_monooxygen	copper_binding,metal_binding,oxidoreductase,oxygenase	copper_binding=go:GO:0005507;metal_binding=go:GO:0046872;oxidoreductase=go:GO:0016491;oxygenase=go:GO:0004497
PF01083	Cutinase	esterase,hydrolase	esterase=swissprot:67/68 KOs 5/5 single-domain 65/66;hydrolase=swissprot:68/68 KOs 5/5 single-domain 66/66
PF01084	Ribosomal_S18	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF01086	Clathrin_lg_ch	cytoplasmic	cytoplasmic=swissprot:14/16 KOs 2/2 single-domain 14/16
PF01087	GalP_UDP_transf	nucleotidyltransferase,transferase	nucleotidyltransferase=swissprot:55/55 co-domains excluded;transferase=go:GO:0016740
PF01088	Peptidase_C12	cysteine_protease,deubiquitinase,hydrolase,peptidase,protease	cysteine_protease=swissprot:48/53 KOs 4/4 single-domain 20/22;deubiquitinase=swissprot:48/53 KOs 4/4 single-domain 20/22;hydrolase=go:GO:0016787;peptidase=swissprot:53/53 KOs 4/4 single-domain 22/22;protease=go:GO:0008233
PF01090	Ribosomal_S19e	ribosomal_protein,rna_binding,translation	ribosomal_protein=go:GO:0003735;rna_binding=text:Ribosom;translation=go:GO:0006412
PF01091	PTN_MK_C	binding	binding=text:binding
PF01092	Ribosomal_S6e	ribosomal_protein,translation	ribosomal_protein=go:GO:0003735;translation=go:GO:0006412
PF01094	ANF_receptor	binding,signaling	binding=text:binding;signaling=text:receptor
PF01095	Pectinesterase	carbohydrate_active,cell_wall,esterase,hydrolase	carbohydrate_active=text:Pectin;cell_wall=go:GO:0071555;esterase=go:GO:0016788;hydrolase=go:GO:0016787
PF01096	Zn_ribbon_TFIIS	dna_binding,regulator,transcription,transcription_factor,zinc_binding	dna_binding=text:Transcription factor;regulator=text:Transcription factor;transcription=go:GO:0006351;transcription_factor=text:TFIIS;zinc_binding=go:GO:0008270
PF01098	FTSW_RODA_SPOVE	carbohydrate_active,glycosyltransferase,peptidoglycan,transferase	carbohydrate_active=swissprot:85/90 KOs 2/2 single-domain 85/90;glycosyltransferase=swissprot:90/90 KOs 2/2 single-domain 90/90;peptidoglycan=swissprot:85/90 KOs 2/2 single-domain 85/90;transferase=swissprot:90/90 KOs 2/2 single-domain 90/90
PF01106	NifU	iron_sulfur,iron_sulfur_biosynthesis	iron_sulfur=go:GO:0051536;iron_sulfur_biosynthesis=go:GO:0016226
PF01111	CKS	kinase,transferase	kinase=text:kinase;transferase=text:kinase
